"NOME_PRODOTTO","DATA_RILEVAZIONE","PREZZO","IVA","ACCISA","NETTO"
"GPL","2012-01-30","758.28","131.60","147.27","479.41"
"Benzina","2012-02-06","1726.80","299.69","704.20","722.91"
"Gasolio auto","2012-02-06","1682.54","292.01","593.20","797.33"
"GPL","2012-02-06","777.34","134.91","147.27","495.16"
"Benzina","2012-02-13","1736.54","301.38","704.20","730.96"
"Gasolio auto","2012-02-13","1691.14","293.50","593.20","804.44"
"GPL","2012-02-13","800.75","138.97","147.27","514.51"
"Benzina","2012-02-20","1752.49","304.15","704.20","744.14"
"Gasolio auto","2012-02-20","1702.09","295.40","593.20","813.49"
"GPL","2012-02-20","813.33","141.16","147.27","524.90"
"Benzina","2012-02-27","1765.72","306.45","704.20","755.07"
"Gasolio auto","2012-02-27","1712.95","297.29","593.20","822.46"
"GPL","2012-02-27","813.83","141.24","147.27","525.32"
"Benzina","2012-03-05","1771.22","307.40","704.20","759.62"
"Gasolio auto","2012-03-05","1716.18","297.85","593.20","825.13"
"GPL","2012-03-05","847.89","147.15","147.27","553.47"
"Benzina","2012-03-19","1818.29","315.57","704.20","798.52"
"Gasolio auto","2012-03-19","1730.55","300.34","593.20","837.01"
"GPL","2012-03-19","886.57","153.87","147.27","585.43"
"Benzina","2012-03-26","1829.16","317.46","704.20","807.50"
"Gasolio auto","2012-03-26","1735.72","301.24","593.20","841.28"
"GPL","2012-03-26","892.88","154.96","147.27","590.65"
"Benzina","2012-04-02","1842.69","319.81","704.20","818.68"
"Gasolio auto","2012-04-02","1738.19","301.67","593.20","843.32"
"GPL","2012-04-02","896.06","155.51","147.27","593.28"
"Benzina","2012-04-09","1850.86","321.22","704.20","825.44"
"Gasolio auto","2012-04-09","1737.08","301.48","593.20","842.40"
"GPL","2012-04-09","896.27","155.55","147.27","593.45"
"Benzina","2012-04-16","1856.26","322.16","704.20","829.90"
"Gasolio auto","2012-04-16","1735.10","301.13","593.20","840.77"
"GPL","2012-04-16","884.96","153.59","147.27","584.10"
"Benzina","2012-04-23","1853.82","321.74","704.20","827.88"
"Gasolio auto","2012-04-23","1730.82","300.39","593.20","837.23"
"GPL","2012-04-23","879.50","152.64","147.27","579.59"
"Benzina","2012-04-30","1851.92","321.41","704.20","826.31"
"Gasolio auto","2012-04-30","1727.34","299.79","593.20","834.35"
