 idStation;speed;location;lat;lng
NC-442507319511809;slow;Via Provinciale 72 ‌San Saturnino (Ge);44.250732;9.511809
NC-443426507034052;slow;Via Saretto ‌Pietraporzio;44.342650;7.034052
OCPI-126-SC0044.CB;slow,fast;Via Rialpo ‌Demonte;44.316070;7.303390
NC-443181477304930;rapid;Via Traversere ‌Demonte;44.318147;7.304930
OCPI-126-SC0048.CB;slow,fast;Via Avena ‌Borgo San Dalmazzo;44.328610;7.487530
NC-443312177549003;slow;Corso Trieste ‌Boves;44.331145;7.548936
OCPI-130-EVOS_thing2292;fast;Viale Giovanni XXIII, 12 ‌Boves;44.332685;7.522856
OCPI-130-EVOS_thing3759;slow;Via Generale G. Allasia, 55 - Piazzetta Barto ‌Boves;44.331329;7.551218
NC-443023837677904;slow;Regione Gambarello ‌Chiusa di Pesio;44.302114;7.678188
NC-443138807707414;slow;Via Mortè ‌Chiusa di Pesio;44.313880;7.707414
OCPI-126-SC0053.CB;slow,fast;Piazza della Rimembranza ‌Villanova Mondovì;44.347430;7.762030
NC-443031287889088;fast;Località Gaggino 1 ‌Roburent;44.303128;7.889088
NC-443115757851853;slow;Località Gaggino 1 ‌Roburent;44.311575;7.851853
CABUR_22S_N59;fast;Strada Provinciale 5 ‌Altare;44.328227;8.329542
NC-443002318475053;fast;Via Domenico Cimarosa 11R ‌Savona;44.300097;8.475055
OCPI-130-19XP22T3KK4AZ00779;fast;Via Rio del Galletto, 2 - Carrozzeria Elio ‌Savona;44.301221;8.456039
NC-443013258467475;slow;Via Braja ‌Savona;44.301469;8.467392
OCPI-126-GS307.M504;slow,fast;Piazza Aldo Moro ‌Savona;44.307270;8.471270
OCPI-126-GS672.M504;slow,fast;Piazza del popolo ‌Savona;44.307800;8.476940
OCPI-126-GS506.M504;fast;Via Chiodo ‌Savona;44.307960;8.487930
OCPI-126-GS502.M504;slow,fast;Via Venezia ‌Savona;44.310099;8.476440
OCPI-126-GS505.M504;slow,fast;Via Vittime di Brescia ‌Savona;44.312060;8.472140
EDS_TOY_0110;fast;Via Nazionale al Piemonte, 31 ‌Savona;44.320583;8.465250
OCPI-126-GS507.M504;fast;Via Genova ‌Savona;44.320890;8.490460
NC-443458638493512;slow,fast;Borgo degli Erchi ‌Albisola Superiore;44.345543;8.493537
OCPI-130-20XP22T3KK1AL00483;fast;Corso Perata ‌Albisola Marina;44.332986;8.504539
OCPI-130-EVOS_thing19075;fast,rapid;Via alle Cantine ‌Albisola Superiore;44.337050;8.510731
OCPI-130-EVOS_thing3105;slow,fast;Via Angelo Barile, 7 - CONAD ‌Albisola Marina;44.337459;8.501372
OCPI-130-19XP22T5HK1AL00175;slow,fast;Piazza San Michele ‌Celle Ligure;44.345995;8.544011
NC-443456968552062;slow;Via Monte Tabor, 26 ‌Celle Ligure;44.345654;8.551783
OCPI-130-EVOS_thing3679;fast;Via Negrin ‌Celle Ligure;44.346374;8.558260
NC-443039299208132;slow;Piazza della Libertà ‌Portofino;44.303928;9.208132
WA-TESLA-52073;fast;Piazza Della Liberta' 19 ‌Portofino;44.304321;9.207171
