"idStation","speed","location","lat","lng","Sigla","Provincia"
"NC-4548008912579947","fast","Via del Faro 10 ‌Cavallino-Treporti","45.480089","12.579947","VE","venezia"
"NC-4548042612580112","slow,fast","Via del Faro 27A ‌Cavallino-Treporti","45.480427","12.580112","VE","venezia"
"NC-4548443112582689","fast","Via capo horn 4 ‌Cavallino-Treporti","45.484431","12.582689","VE","venezia"
"OCPI-128-9ae6ac53-9289-46d0-bce9-563083f79578","fast","Via Scirocco ‌Jesolo","45.48848","12.586455","VE","venezia"
"OCPI-128-24e3a080-7fb0-4e74-af6c-fcbf7b686907","fast","Via Maestrale ‌Jesolo","45.490352","12.585192","VE","venezia"
"OCPI-130-19XP22T3KK4AZ00920","fast","Via Ippolito Pindemonte ‌Jesolo","45.496931","12.612639","VE","venezia"
"OCPI-130-EVOS_thing4696","fast","PIAZZA INTERNAZIONALE 29 - PARCHEGGIO PIANO I ‌Jesolo","45.498858","12.617746","VE","venezia"
"EDS_TOY_0107","fast","Via Manzoni 16 ‌Treviglio","45.527479","9.600013","BG","bergamo"
"NC-4541670011883300","rapid","Via Merisio 4A ‌Treviglio BG","45.517305","9.601513","BG","bergamo"
"OCPI-129-4d95ac34-1dc3-44de-8feb-7cc11d9bc245","fast","Via Brignano, 14 ‌Treviglio","45.52645","9.6049","BG","bergamo"
"NC-455068009622239","slow","Via Caravaggio ‌Caravaggio","45.5068","9.622239","BG","bergamo"
"NC-455434639641627","slow","Via Giuseppe Verdi ‌Brignano Gera d'Adda","45.543463","9.641627","BG","bergamo"
"NC-455333069702144","slow","via Aldo Moro 1 ‌Morengo","45.533306","9.702144","BG","bergamo"
"NC-455216259708215","slow","Via Romano ‌Bariano","45.521626","9.708215","BG","bergamo"
"GES-CC-00007","fast","Piazzale Fiume ‌Romano di Lombardia","45.520791","9.756304","BG","bergamo"
"NC-455343549757593","slow","Strada Statale Soncinese 13 ‌Romano di Lombardia","45.533663","9.757223","BG","bergamo"
"OCPI-129-837e380d-ae42-402c-9a1a-90c087eb0aec","fast","Strada Statale Soncinese, 489 ‌Romano di Lombardia","45.53199","9.75763","BG","bergamo"
"NC-455261499758635","slow","Via dei Gelsi ‌Romano di Lombardia","45.526046","9.759897","BG","bergamo"
"NC-455015459769089","fast","Via Della Repubblica ‌Covo","45.501545","9.769089","BG","bergamo"
"NC-455125649851166","slow","Via San Fermo ‌Calcio","45.512566","9.851166","BG","bergamo"
"OCPI-238-IT*GCE*EACIN5YGB4QQ1","fast,rapid","Via dei Fabbri, 27 ‌Chiari","45.533598","9.911175","BS","brescia"
"OCPI-130-19XP22T3KK4AZ00187","fast","Via Vecchia per Castelcovati - CONAD ‌Chiari","45.525818","9.938682","BS","brescia"
"NC-455402099940371","fast","Via Brescia ‌Chiari","45.540209","9.940371","BS","brescia"
"WA-TESLA-26051","fast","Via Barussa 1 ‌Castrezzato (BS)","45.501011","9.969762","BS","brescia"
"NC-455119669979241","slow","Piazzale Risorgimento 1 ‌Castrezzato (BS)","45.511966","9.979241","BS","brescia"
"NC-4551397510010248","slow","Via Bargnana ‌CASTREZZATO","45.513975","10.010248","BS","brescia"
"OCPI-129-0ef69858-6ca5-48f1-a9e6-12b2beb4905b","fast","Via Aldo Moro, 81 ‌Travagliato","45.529677","10.078108","BS","brescia"
"NC-4551412610137738","slow","Via Renolda ‌Castel Mella","45.515678","10.137963","BS","brescia"
"NC-4551565510138103","slow","Via Renolda ‌Castel Mella","45.515298","10.138178","BS","brescia"
"OCPI-130-EVOS_thing4397","slow,fast","Via Martiri delle Libertà - FAR ARREDA ‌Roncadelle","45.518096","10.140624","BS","brescia"
"NC-4553577310147820","slow,fast","Via Enrico Mattei ‌Roncadelle","45.535774","10.14782","BS","brescia"
"NC-4553401610151212","slow,fast","Via Enrico Mattei ‌Roncadelle","45.534016","10.151212","BS","brescia"
"OCPI-172-16","fast","Via Luigi Einaudi ‌Roncadelle","45.53257","10.163907","BS","brescia"
"WA-TESLA-34146","slow,rapid","Via Caduti del Lavoro ‌Roncadelle","45.532254","10.164906","BS","brescia"
"OCPI-130-19XP22T5HK4AD00099_18u2vywt020","slow,fast","Via D'Antona e Biagi, 9 - IKEA Piano -1 ‌Roncadelle","45.534977","10.165384","BS","brescia"
"EDS_TOY_0111","fast","Via Colombaie 1/3 ‌Brescia","45.547139","10.165722","BS","brescia"
"OCPI-130-19XP22T5HK4AZ00046_18u1qktlbmc","slow,fast","Via D'Antona e Biagi, 9 - IKEA Piano -1 ‌Roncadelle","45.534076","10.166036","BS","brescia"
"NC-4554655010167638","slow","Via Valcamonica 19/B ‌Brescia","45.54655","10.167638","BS","brescia"
"ALFAZERO_SN1800592","slow","VIA VIOLINO DI SOPRA ‌BRESCIA","45.542455","10.170237","BS","brescia"
"NC-4554758010179530","slow","Via Albertano da Brescia ‌Brescia","45.547581","10.17953","BS","brescia"
"NC-4554760210183082","rapid","Via Valcamonica 2 ‌Brescia","45.547785","10.182892","BS","brescia"
"OCPI-129-298717ef-6d82-4174-bf0e-6b35624b88f6","fast","Via Genova, 76 ‌Brescia","45.521984","10.182953","BS","brescia"
"NC-4554961610185707","rapid","Via Chiusure ‌Brescia","45.549616","10.185707","BS","brescia"
"NC-4554303410192242","fast","Via Villa Glori ‌Brescia","45.543034","10.192242","BS","brescia"
"NC-4552829510192801","slow","Via Orzinuovi 28 ‌Brescia","45.528295","10.192801","BS","brescia"
"NC-4554491610196773","slow","Via Milano ‌Brescia","45.544914","10.196773","BS","brescia"
"ALFAZERO_SN1800599","fast","Via Dalmazia ‌Brescia","45.525918","10.197697","BS","brescia"
"NC-4554612410198092","slow,fast","Via Carolina Bevilacqua 2 ‌Brescia","45.546124","10.198092","BS","brescia"
"NC-4552671310199425","rapid","Via Emilio Salgari ‌Brescia","45.526932","10.199511","BS","brescia"
"OCPI-130-19XP22T3KK4AD00471","fast","Via Genova ‌Brescia","45.521854","10.184214","BS","brescia"
"OCPI-130-18XM32T77B3W000050","rapid,fast","Via Cassala 13 ‌Brescia","45.536635","10.20388","BS","brescia"
"NC-4553291010202376","slow","Via Camillo Brozzoni 6 ‌Brescia","45.532235","10.206761","BS","brescia"
"EVB1819168279226","slow","Via Malta 25/d ‌Brescia (BS)","45.518085","10.211445","BS","brescia"
"ALFAZERO_SN1900421","slow","Via Malta ‌Brescia","45.518274","10.21146","BS","brescia"
"ALFAZERO_SN1800086","fast","Via Tartaglia ‌Brescia","45.544622","10.212509","BS","brescia"
"EVB18191682792210","slow","Via Malta 25/e ‌Brescia","45.518107","10.212571","BS","brescia"
"EVB18191682792211","slow","Via Malta 25/e ‌Brescia","45.518107","10.212571","BS","brescia"
"EVB18191682792212","fast","Via Malta 25/e ‌Brescia","45.518107","10.212571","BS","brescia"
"EVB1819168279227","fast","Via Malta 25/e ‌Brescia","45.518107","10.212571","BS","brescia"
"EVB1819168279229","slow","Via Malta 25/e ‌Brescia","45.518107","10.212571","BS","brescia"
"NC-4553123210212808","slow","Via Sostegno ‌Brescia","45.531232","10.212808","BS","brescia"
"ALFAZERO_SN1900407","fast","viale della stazione 33 ‌Brescia","45.533264","10.213149","BS","brescia"
"ALFAZERO_SN1900431","fast","Via LAMARMORA ‌BRESCIA","45.519946","10.214965","BS","brescia"
"EVB1818164992531","fast","Via Cefalonia 62 ‌Brescia","45.524709","10.215148","BS","brescia"
"ALFAZERO_SN1800338","fast","Via XX settembre 32 ‌Brescia","45.533843","10.217409","BS","brescia"
"ALFAZERO_SN1800079","slow,fast","Via 4 Novembre, 1 ‌Brescia","45.537691","10.219628","BS","brescia"
"NC-4550080910220874","rapid","Via A. Diaz ‌San Zeno Naviglio","45.500809","10.220874","BS","brescia"
"ALFAZERO_SN1900425","fast","Via Rocca d'Anfo ‌Brescia","45.548998","10.221374","BS","brescia"
"ALFAZERO_SN1900422","fast","Via San Zeno ‌Brescia","45.529337","10.223758","BS","brescia"
"NC-4554425710223940","slow","Via Tito Speri ‌Brescia","45.544257","10.22394","BS","brescia"
"CIR_4152000418","slow,rapid","Via Dario Morelli ‌Brescia","45.514021","10.230319","BS","brescia"
"NC-4553647210231620","slow","Piazzale Arnaldo 1C ‌Brescia","45.536486","10.231609","BS","brescia"
"ALFAZERO_SN1800349","slow,fast","Largo Torrelunga ‌Brescia","45.535905","10.231737","BS","brescia"
"ALFAZERO_SN1800344","slow,fast","Via Fratelli Lechi ‌Brescia","45.533014","10.233678","BS","brescia"
"NC-4552776310235988","slow","Via Foro Boario ‌Brescia","45.527758","10.236122","BS","brescia"
"ALFAZERO_SN1800596","slow","Via Leonzio Foresti ‌Brescia","45.518799","10.265758","BS","brescia"
"ALFAZERO_SN1800597","fast","Viale della Rimembranza ‌Brescia","45.52333","10.26789","BS","brescia"
"NC-4551922910283216","fast","Viale Sant'Eufemia ‌Brescia","45.51923","10.283216","BS","brescia"
"OCPI-128-b4a0eaab-5e66-4ee0-a695-584ba3d6ab6d","fast,rapid","Via Carlo Fenzi ‌Brescia","45.518464","10.286925","BS","brescia"
"NC-4551562210294482","rapid","Viale Sant'Eufemia, 192 ‌Brescia","45.515855","10.294677","BS","brescia"
"EDS_TOY_0007","fast","Via Breve 4 ‌Brescia","45.514222","10.296222","BS","brescia"
"EDS_TOY_0006","fast","Viale Sant'Eufemia, 218 ‌Brescia","45.51475","10.296389","BS","brescia"
"WA-TESLA-26049","fast","Via Giuseppe Mazzini ‌Rezzato","45.512146","10.311645","BS","brescia"
"NC-4551482510313812","slow","Via Giovanni Battista Scalabrini ‌Rezzato","45.514825","10.313812","BS","brescia"
"NC-4551259110318154","slow","Vicolo Filatoio ‌Rezzato","45.512591","10.318154","BS","brescia"
"NC-4551117810326030","rapid","Via Milano ‌Rezzato","45.511237","10.32236","BS","brescia"
"NC-4551552810335499","slow","Via Pietro Goini ‌Rezzato","45.515528","10.335499","BS","brescia"
"NC-4550608910336978","fast,rapid","Via Treponti ‌Rezzato","45.506088","10.336978","BS","brescia"
"NC-4551596710423972","fast","Via Gaine ‌Bedizzole","45.515967","10.423972","BS","brescia"
"WA-TESLA-43972","fast","via Borghetto ‌Bedizzole","45.520542","10.438229","BS","brescia"
"OCPI-123-LOC11797","slow,fast","Piazza degli Alpini ‌CALVAGESE DELLA RIVIERA","45.541011","10.445112","BS","brescia"
"WA-TESLA-29220","fast","Via Arzaga, 1 ‌Calvagese della Riviera (BS)","45.513794","10.478022","BS","brescia"
"OCPI-123-LOC5733","fast","Via Italo Barbieri 20 ‌Padenghe Sul Garda","45.507651","10.506733","BS","brescia"
"WA-TESLA-44309","fast","Via dei Canestrelli ‌MONIGA del Garda","45.527258","10.523861","BS","brescia"
"NC-4553893110531476","slow","Via Trevisago ‌Manerba del Garda","45.538831","10.531436","BS","brescia"
"NC-4554355410532877","slow","Via Vittorio Gassman ‌Manerba del Garda","45.543702","10.531734","BS","brescia"
"NC-4554492910532337","slow","Via Trevisago ‌Solarolo","45.544929","10.532337","BS","brescia"
"OCPI-123-LOC8359","fast","Via Vittorio Gassman 2 ‌MANERBA DEL GARDA","45.547407","10.534296","BS","brescia"
"OCPI-123-LOC12484","fast","Via Pompeo Molmenti 12 ‌MONIGA DEL GARDA","45.5295","10.537694","BS","brescia"
"NC-4552366910538449","fast","Via del Porto 10 ‌Moniga del Garda","45.523669","10.538449","BS","brescia"
"1376602.00121","fast","Borgo Giuseppe Garibaldi ‌Bardolino","45.549157","10.721108","VR","verona"
"NC-4591427713588300","fast","Lungolago F. Cipriani ‌Bardolino","45.543846","10.721582","VR","verona"
"DW-210226","fast","Lungolago F. Cipriani, 6 ‌Bardolino","45.543416","10.722363","VR","verona"
"NC-4554353610722780","slow","Lungolago F. Cipriani 8 ‌Bardolino","45.543536","10.72278","VR","verona"
"NC-4554547010723126","fast","Via Cristoforo Colombo ‌Bardolino","45.545471","10.723126","VR","verona"
"DW-190127","fast","Via Borgo Cavour 38 ‌Bardolino","45.547514","10.723631","VR","verona"
"DW-180109","fast","Località Santa Cristina ‌Bardolino","45.542816","10.724381","VR","verona"
"DW-000033","fast","Via Santa Cristina 13 ‌Bardolino","45.540584","10.726189","VR","verona"
"WA-TESLA-32526","fast","Via Santa Cristina ‌Bardolino","45.539233","10.726486","VR","verona"
"WA-TESLA-38791","fast","Via Campagnola ‌Bardolino","45.535106","10.729268","VR","verona"
"NC-4550694610734007","slow","Corso Cangrande 16 ‌Provincia di Verona","45.506946","10.734007","VR","verona"
"NC-4553897310734784","slow","Via Costabella 9 ‌Bardolino","45.53875","10.734647","VR","verona"
"NC-4564831912407379","fast","Via Pra' del Principe ‌Lazise","45.503036","10.734647","VR","verona"
"WA-TESLA-45411","fast","Via Valesana 8 ‌Lazise","45.509418","10.744513","VR","verona"
"DW_000016","slow,fast","Via della Pergolana, 9 ‌Lazise, VR","45.512504","10.731984","VR","verona"
"OCPI-130-EVOS_thing4581","fast","Via A. Della Scala ‌Lazise","45.503371","10.740438","VR","verona"
"OCPI-128-41c0933a-4f10-4e08-8285-4e78c617d083","fast","Località Piazzili ‌Cavaion Veronese","45.51716","10.786863","VR","verona"
"NC-4551746710786648","slow","Via Tacconi ‌Cavaion Veronese","45.51759","10.786208","VR","verona"
"WA-TESLA-26655","fast","Località Cordevigo ‌Cavaion veronese","45.525042","10.79177","VR","verona"
"INGE-6S0A22242408","fast","Via Lionello Fiumi ‌Cavaion veronese VR","45.536897","10.775695","VR","verona"
"NC-4554330610801781","slow","Viale Primo Maggio ‌Provincia di Verona","45.543306","10.801781","VR","verona"
"NC-4550285610854153","slow","Via Ospedaletto 57 ‌Ospedaletto (VR)","45.505657","10.84464","VR","verona"
"NC-4552455410872101","slow","Via Poiano ‌Bure","45.524554","10.872101","VR","verona"
"WA-TESLA-26456","fast","Localita' Novare ‌Negrar","45.503426","10.946431","VR","verona"
"OCPI-129-ae9ade03-6f79-4fe5-913e-55c7aa7c2b80","fast","Piazza Giovanni Paolo II, 2 ‌Chiampo","45.544864","11.28264","VI","vicenza"
"OCPI-129-093f0108-8058-49c3-b78f-d11db5d8d0e2","fast","Via Stadio, 2 ‌Chiampo","45.53946","11.29094","VI","vicenza"
"OCPI-129-d7df14d2-ce02-407f-9e8a-6f2849a0396c","fast","Via Cima Telegrafo, 19 ‌Chiampo","45.53665","11.29346","VI","vicenza"
"1250","fast","Via Broli ‌Arzignano","45.518986","11.330219","VI","vicenza"
"WA-ENELIT-5949","slow,fast","Via dell'Industria ‌Arzignano","45.513219","11.343361","VI","vicenza"
"SIE007180133IT","rapid","Via Bottego 20 ‌Arzignano","45.511725","11.348388","VI","vicenza"
"WA-TESLA-23178","fast","Via Trieste ‌Montecchio Maggiore","45.503132","11.437635","VI","vicenza"
"NC-4552682511442562","fast","Via A. Manzoni ‌Sovizzo","45.526825","11.442562","VI","vicenza"
"WA-TESLA-24061","fast","Via Tavernelle ‌Altavilla Vicentina","45.514333","11.45835","VI","vicenza"
"OCPI-258-IT*911*E*IT*000248*0000002","rapid","Via dei Laghi 70 ‌Altavilla Vicentina","45.5197","11.459","VI","vicenza"
