Provincia;Codice ISTAT Comune;Anno;Densita
GENOVA;10025;2001;2548.8
GENOVA;10025;2002;2492.1
GENOVA;10025;2003;2475.5
GENOVA;10025;2004;2476.2
GENOVA;10025;2005;2515.2
GENOVA;10025;2006;2537.0
GENOVA;10025;2007;2517.6
GENOVA;10025;2008;2508.3
GENOVA;10025;2009;2506.0
GENOVA;10025;2010;2499.3
GENOVA;10025;2011;2493.6
LA SPEZIA;11015;2000;1853.0
LA SPEZIA;11015;2001;1813.7
LA SPEZIA;11015;2002;1770.5
LA SPEZIA;11015;2003;1783.4
LA SPEZIA;11015;2004;1811.7
LA SPEZIA;11015;2005;1821.3
LA SPEZIA;11015;2006;1821.2
LA SPEZIA;11015;2007;1824.8
LA SPEZIA;11015;2008;1836.2
LA SPEZIA;11015;2009;1845.9
LA SPEZIA;11015;2010;1846.0
LA SPEZIA;11015;2011;1842.8
VARESE;12133;2000;1525.8
VARESE;12133;2001;1495.7
VARESE;12133;2002;1459.9
VARESE;12133;2003;1456.4
VARESE;12133;2004;1490.2
VARESE;12133;2005;1514.8
VARESE;12133;2006;1502.1
VARESE;12133;2007;1495.1
VARESE;12133;2008;1493.1
VARESE;12133;2009;1490.8
VARESE;12133;2010;1487.1
VARESE;12133;2011;1484.1
COMO;13075;2000;2221.2
COMO;13075;2001;2161.7
COMO;13075;2002;2109.8
COMO;13075;2003;2136.1
COMO;13075;2004;2189.7
COMO;13075;2005;2223.1
COMO;13075;2006;2226.4
COMO;13075;2007;2228.7
COMO;13075;2008;2239.7
COMO;13075;2009;2261.6
COMO;13075;2010;2277.4
COMO;13075;2011;2294.8
SONDRIO;14061;2000;1077.5
SONDRIO;14061;2001;1067.0
SONDRIO;14061;2002;1056.1
SONDRIO;14061;2003;1056.9
SONDRIO;14061;2004;1062.2
SONDRIO;14061;2005;1068.9
SONDRIO;14061;2006;1073.5
SONDRIO;14061;2007;1081.6
SONDRIO;14061;2008;1089.7
SONDRIO;14061;2009;1092.5
SONDRIO;14061;2010;1093.9
SONDRIO;14061;2011;1093.7
MILANO;15146;2000;7139.8
MILANO;15146;2001;7016.7
MILANO;15146;2002;6867.0
MILANO;15146;2003;6917.5
MILANO;15146;2004;7061.4
MILANO;15146;2005;7162.6
MILANO;15146;2006;7173.5
MILANO;15146;2007;7148.5
MILANO;15146;2008;7127.3
MILANO;15146;2009;7148.9
MILANO;15146;2010;7226.9
MILANO;15146;2011;7325.0
BERGAMO;16024;2000;2970.4
BERGAMO;16024;2001;2907.6
BERGAMO;16024;2002;2857.1
BERGAMO;16024;2003;2873.8
BERGAMO;16024;2004;2912.9
BERGAMO;16024;2005;2938.2
BERGAMO;16024;2006;2927.3
BERGAMO;16024;2007;2922.1
BERGAMO;16024;2008;2935.1
BERGAMO;16024;2009;2963.3
BERGAMO;16024;2010;2999.6
BERGAMO;16024;2011;3028.9
BRESCIA;17029;2000;2128.4
BRESCIA;17029;2001;2105.7
BRESCIA;17029;2002;2066.5
BRESCIA;17029;2003;2088.2
BRESCIA;17029;2004;2113.4
BRESCIA;17029;2005;2113.1
BRESCIA;17029;2006;2101.4
BRESCIA;17029;2007;2094.1
BRESCIA;17029;2008;2098.5
BRESCIA;17029;2009;2108.9
BRESCIA;17029;2010;2125.6
BRESCIA;17029;2011;2140.4
PAVIA;18110;2000;1174.4
PAVIA;18110;2001;1155.4
PAVIA;18110;2002;1136.2
PAVIA;18110;2003;1138.6
PAVIA;18110;2004;1138.6
PAVIA;18110;2005;1133.9
PAVIA;18110;2006;1127.4
PAVIA;18110;2007;1120.6
PAVIA;18110;2008;1119.3
PAVIA;18110;2009;1127.1
PAVIA;18110;2010;1132.1
PAVIA;18110;2011;1133.4
CREMONA;19036;2000;1016.0
CREMONA;19036;2001;1011.3
CREMONA;19036;2002;1007.2
CREMONA;19036;2003;1010.9
CREMONA;19036;2004;1015.7
CREMONA;19036;2005;1014.7
CREMONA;19036;2006;1010.1
CREMONA;19036;2007;1014.9
CREMONA;19036;2008;1024.8
CREMONA;19036;2009;1026.5
CREMONA;19036;2010;1025.7
CREMONA;19036;2011;1025.2
MANTOVA;20030;2000;752.4
MANTOVA;20030;2001;748.2
MANTOVA;20030;2002;747.1
MANTOVA;20030;2003;747.6
MANTOVA;20030;2004;749.8
MANTOVA;20030;2005;748.6
MANTOVA;20030;2006;746.3
MANTOVA;20030;2007;746.1
MANTOVA;20030;2008;750.4
MANTOVA;20030;2009;755.7
MANTOVA;20030;2010;757.7
MANTOVA;20030;2011;761.7
BOLZANO;21008;2000;1858.7
BOLZANO;21008;2001;1836.0
BOLZANO;21008;2002;1817.8
BOLZANO;21008;2003;1829.7
BOLZANO;21008;2004;1847.3
BOLZANO;21008;2005;1871.7
BOLZANO;21008;2006;1895.7
BOLZANO;21008;2007;1914.6
BOLZANO;21008;2008;1935.3
BOLZANO;21008;2009;1959.2
BOLZANO;21008;2010;1979.4
BOLZANO;21008;2011;1995.7
TRENTO;22205;2000;667.6
TRENTO;22205;2001;668.0
TRENTO;22205;2002;668.8
TRENTO;22205;2003;680.0
TRENTO;22205;2004;692.5
TRENTO;22205;2005;700.3
TRENTO;22205;2006;705.3
TRENTO;22205;2007;710.3
TRENTO;22205;2008;718.3
TRENTO;22205;2009;727.4
TRENTO;22205;2010;733.9
TRENTO;22205;2011;738.9
VERONA;23091;2000;1240.6
VERONA;23091;2001;1235.8
VERONA;23091;2002;1232.4
VERONA;23091;2003;1244.0
VERONA;23091;2004;1251.1
VERONA;23091;2005;1254.2
VERONA;23091;2006;1258.2
VERONA;23091;2007;1269.8
VERONA;23091;2008;1281.1
VERONA;23091;2009;1281.7
VERONA;23091;2010;1278.3
VERONA;23091;2011;1277.6
VICENZA;24116;2000;1368.3
VICENZA;24116;2001;1353.3
VICENZA;24116;2002;1349.6
VICENZA;24116;2003;1374.1
VICENZA;24116;2004;1395.6
