"ITTER107","Territorio","TIPO_DATO8","Tipo dato","MISURA1","Misura","COICOP_CEF2","Gruppo di spesa","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD4","Friuli-Venezia Giulia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_5","oli e grassi","2013","2013",14.98,,
"ITD","Nord-est","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_6","sanità","2013","2013",107.12,,
"ITG1","Sicilia","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_1","pane e cereali","2013","2013",72.24,,
"ITE4","Lazio","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_3","abitazione (principale e secondaria)","2013","2013",762.71,,
"ITD1","Provincia Autonoma Bolzano / Bozen","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_5","mobili, elettrod. e servizi per la casa","2013","2013",172.44,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_1","pane e cereali","2013","2013",72.87,,
"ITD3","Veneto","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_4","combustibili ed energia","2013","2013",164.9,,
"ITD3","Veneto","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",430.93,,
"ITF6","Calabria","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_2","carne","2013","2013",103.42,,
"ITE3","Marche","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_7","trasporti","2013","2013",354.87,,
"ITE3","Marche","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_3","pesce","2013","2013",44.25,,
"ITD5","Emilia-Romagna","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_2","carne","2013","2013",101.69,,
"ITG2","Sardegna","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_1","pane e cereali","2013","2013",81.33,,
"ITD5","Emilia-Romagna","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_7","zucchero, caffè e drogheria","2013","2013",31.21,,
"ITF","Sud","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_1","tabacchi","2013","2013",21.91,,
"ITF1","Abruzzo","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_8","bevande","2013","2013",42.55,,
"ITG","Isole","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_8","bevande","2013","2013",35.89,,
"ITF3","Campania","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_1","pane e cereali","2013","2013",73.33,,
"ITF","Sud","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","2_2","abbigliamento e calzature","2013","2013",102.68,,
"ITF3","Campania","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_5","oli e grassi","2013","2013",16.91,,
"ITE1","Toscana","SPESA_MEDIA","spesa media mensile familiare (in euro correnti)","15","valori medi","1_1","pane e cereali","2013","2013",78.25,,
